order_id,Date_and_time_of_unloading,Product_code,Amount,Sale_amount,Profit,Discount_percentage
1,1/1/2020 23:00,144,1,280,155,
2,1/1/2020 23:00,209,2,545.73,75.73,35.03
3,1/1/2020 23:00,213,2,1265.05,653.05,2.69
4,1/1/2020 23:00,217,1,630,220.5,10
5,1/1/2020 23:00,222,2,1104.75,393.75,15.02
6,1/1/2020 23:00,243,1,292.36,1.36,35.03
7,1/1/2020 23:00,258,1,559.55,93.55,30.06
8,1/1/2020 23:00,270,2,497.82,35.82,32.73
9,1/1/2020 23:00,271,1,324.84,53.84,35.03
10,1/1/2020 23:00,282,1,423,252,10
11,1/1/2020 23:00,294,1,324.84,25.84,35.03
12,1/1/2020 23:00,298,1,180,90.32,
13,1/1/2020 23:00,386,1,370,165,
14,1/1/2020 23:00,457,1,230,51,30.3
15,1/1/2020 23:00,566,3,549.42,211.35,16.75
16,1/1/2020 23:00,581,5,2032.71,615.21,26.08
17,1/1/2020 23:00,615,1,407.62,162.62,5.2
18,1/1/2020 23:00,646,1,280,150,
19,1/1/2020 23:00,688,1,255.97,133.25,5.2
20,1/1/2020 23:00,706,1,160,73.27,
21,1/1/2020 23:00,839,1,175.46,31.46,20.25
22,1/1/2020 23:00,840,1,199.39,7.39,20.24
23,1/1/2020 23:00,843,1,175.46,50.46,20.25
24,1/1/2020 23:00,850,1,226.04,31.04,35.42
25,1/1/2020 23:00,888,1,990,-160,10
26,1/1/2020 23:00,1019,0.25,160,81.25,11.11
27,1/1/2020 23:00,1205,1,458.03,265.79,18.21
28,1/1/2020 23:00,1214,1,419.66,100.16,30.06
29,1/1/2020 23:00,1238,5,1150,575,8
30,1/1/2020 23:00,1276,1,379.19,175.19,5.2
31,1/1/2020 23:00,1362,0.25,238.89,66.39,20.37
32,1/1/2020 23:00,1434,2,780,404,11.36
33,1/1/2020 23:00,1470,1,255.21,93.21,20.25
34,1/1/2020 23:00,1471,1,255.21,93.21,20.25
35,1/1/2020 23:00,1472,2,539.27,239.27,10.12
36,1/1/2020 23:00,1486,1,663.57,263.57,5.2
37,1/1/2020 23:00,1497,1,220,75,21.43
38,1/1/2020 23:00,1498,1,210,110,
39,1/1/2020 23:00,1501,1,487.5,172.5,30.36
40,1/1/2020 23:00,1510,1,195.89,65.89,30.04
41,1/1/2020 23:00,1530,1,263.65,113.65,20.11
42,1/1/2020 23:00,1534,1,312.83,102.83,5.2
43,1/1/2020 23:00,1561,0.5,280,163.35,
44,1/1/2020 23:00,1562,1,280,80,20
45,1/1/2020 23:00,1565,1,474.03,215.03,5.19
46,1/1/2020 23:00,1594,0.5,300,165,
47,1/1/2020 23:00,1595,2,512.79,100.79,32.53
48,1/1/2020 23:00,1604,1,798.94,203.94,20.11
49,1/1/2020 23:00,1676,2,540,265,10
50,1/1/2020 23:00,1683,0.25,191.11,75.25,20.37
51,1/1/2020 23:00,1709,3,1200,597,
52,1/1/2020 23:00,1712,1,455,77,35
53,1/1/2020 23:00,1726,1,331.79,138.79,5.2
54,1/1/2020 23:00,1746,1,160,66.19,11.11
55,1/1/2020 23:00,1747,2,504,200.74,10
56,1/1/2020 23:00,1754,1,292.36,47.31,35.03
57,1/1/2020 23:00,1773,1,259.87,46.87,35.03
58,1/1/2020 23:00,1775,0.25,189.47,56.42,21.05
59,1/1/2020 23:00,1780,1,350,173,
60,1/1/2020 23:00,1786,0.5,405,138.9,15.63
61,1/1/2020 23:00,1794,1,314.82,64.82,30.04
62,1/1/2020 23:00,1796,1,292.5,39.5,35
63,1/1/2020 23:00,1798,1,500.5,58.5,35
64,1/1/2020 23:00,1803,3,824.95,419.95,1.79
65,1/1/2020 23:00,1804,1,280,145,
66,1/1/2020 23:00,1806,1,195.89,60.89,30.04
67,1/1/2020 23:00,1807,4,838.07,318.07,25.17
68,1/2/2020 1:00,144,2,500,250,10.71
69,1/2/2020 1:00,247,1,580,247,
70,1/2/2020 1:00,283,1,295,134,10.61
71,1/2/2020 1:00,298,1,160,70.32,11.11
72,1/2/2020 1:00,299,1,125,35.32,30.56
73,1/2/2020 1:00,364,2,629.9,359.9,10.01
74,1/2/2020 1:00,380,1,300,150,
75,1/2/2020 1:00,457,3,956.2,419.2,3.41
76,1/2/2020 1:00,479,1,270,120.14,10
77,1/2/2020 1:00,481,1,300,161.94,
78,1/2/2020 1:00,495,0.5,251.5,31.5,30.14
79,1/2/2020 1:00,519,1,200,200,
80,1/2/2020 1:00,564,0.25,120,63.95,
81,1/2/2020 1:00,566,4,835,384.24,5.11
82,1/2/2020 1:00,653,5,1385,645,7.67
83,1/2/2020 1:00,816,1,315,148,10
84,1/2/2020 1:00,839,1,195,51,11.36
85,1/2/2020 1:00,898,1,279.9,279.9,20.03
86,1/2/2020 1:00,1030,1,159.94,61.94,20.03
87,1/2/2020 1:00,1032,5,927.18,377.18,7.28
88,1/2/2020 1:00,1145,0.5,230,105,11.54
