Product_code,Vendor_code,Name,Retail_price,Base_unit,Size,ABV
5028,1 Symbiotica,1 Symbiotica Apple 0.375,300,Pieces,0.375,4.5
4846,1 Symbiotica,1 Symbiotica Hard Kombucha Renegade Aronia 0.33,200,Pieces,0.33,3
1340,1000 IBU,1000 IBU Imperial IPA Barrel l,960,Liters,1,9.6
4302,18th Street Brewery,18th Street Brewery Deal With The Devil 0.473,630,Pieces,0.473,8.5
4304,18th Street Brewery,18th Street Brewery Pins And Needles 0.473,630,Pieces,0.473,8.5
4300,18th Street Brewery,18th Street Brewery Rise Of The Angels 0.473,520,Pieces,0.473,7.5
4775,18th Street Brewery,18th Street Brewery Rubicon 0.473,480,Pieces,0.473,7
4301,18th Street Brewery,18th Street Brewery Sex and Candy 0.473,480,Pieces,0.473,7.5
4303,18th Street Brewery,18th Street Brewery Under Crown 0.473,640,Pieces,0.473,8.8
4738,2nd Shift Brewing,2nd Shift Brewing Arancia e Ibisco Barrel,900,Liters,1,5.9
170,3Fonteine,3Fonteinen Doesjel 20/ lambic / 6% / 0.375,850,Pieces,0.375,6
1176,3Fonteine,3Fonteinen Intense Red Oude Kriek / 5% / 0.75,3300,Pieces,0.75,6
726,3Fonteine,3Fonteinen Oude Geuze / 6% / 0.75,1500,Pieces,0.75,6
1617,3Fonteine,3Fonteinen Oude Geuze 20/ 5% / 0.375,950,Pieces,0.375,5
4548,3Fonteine,3Fonteinen Oude Geuze 20Assemblage 59 0.375,1100,Pieces,0.375,6.6
1845,3Fonteine,3Fonteinen Oude Geuze 20assemlage 9/Oud Gez 2 0.75,1600,Pieces,0.75,5.3
2865,3Fonteine,3Fonteinen Oude Geuze 20Blend No. 55 0.375,1100,Pieces,0.375,5.3
3139,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 0.375,1550,Pieces,0.375,6.2
3140,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 0.375,1550,Pieces,0.375,6.4
4546,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 57 0.375,1550,Pieces,0.375,6.8
4547,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 66 0.375,1550,Pieces,0.375,6.9
3733,3Fonteine,3Fonteinen Oude Geuze Assamblage 59 0.75,2000,Pieces,0.75,6.3
2242,3Fonteine,3Fonteinen Oude Geuze Assemblage / 0.375,1000,Pieces,0.375,5.7
2243,3Fonteine,3Fonteinen Oude Geuze Assemblage / 0.375,1050,Pieces,0.375,5.3
3141,3Fonteine,3Fonteinen Oude Geuze Assemblage 0.375,1100,Pieces,0.375,6.3
1618,3Fonteine,3Fonteinen Oude Geuze Cuvee Armand & Gaston / 5% / 0.75,2500,Pieces,0.75,5
4215,3Fonteine,"3Fonteinen Oude Geuze Cuvee Armand & Gaston 1,5L",8000,Pieces,1.5,6.2
2866,3Fonteine,3Fonteinen Oude Geuze Cuvée Armand & Gaston 20Blend No. 56 0.375,1600,Pieces,0.375,5
2867,3Fonteine,3Fonteinen Oude Geuze Cuvée Armand & Gaston 20Blend No. 58 0.75,3200,Pieces,0.75,5
171,3Fonteine,3Fonteinen Oude Gueuze / 6% / 0.375,800,Pieces,0.375,6
727,3Fonteine,3Fonteinen Oude Kriek / 6% / 0.75,2000,Pieces,0.75,6
1619,3Fonteine,3Fonteinen Oude Kriek 20/ 6% / 0.75,2500,Pieces,0.75,6
2892,3Fonteine,3Fonteinen Oude Kriek 20Blend No. 8 0.375,1550,Pieces,0.375,6.4
2244,3Fonteine,3Fonteinen Oude Kriekenlambik Assemblage / 0.375,1500,Pieces,0.375,5.4
5076,3Fonteine,3Fonteinen Ommazh 20Assambljazh 33,6000,Pieces,0.75,5.8
5079,3Fonteine,3Fonteinen Oud Gez 20assambljazh 38,2000,Pieces,0.75,6.4
5078,3Fonteine,3Fonteinen Oud Gez Arman Gaston 20Assambljazh 14,3000,Pieces,0.75,7.3
5077,3Fonteine,3Fonteinen Oud Gez Arman Gaston 20assambljazh 19,3000,Pieces,0.75,6.1
2076,3Fonteine,3Fonteinen Oud Krik Assambljazh n31,1550,Pieces,0.375,5.6
4874,4 Brewers,4 Brewers IPA 2 Barrel,600,Liters,1,7
4871,4 Brewers,4 Brewers Santa muerte Barrel,600,Liters,1,6.5
4728,4 Brewers,4Brewers,,,,
5187,4 Brewers,4Brewers Broken Pattern 0.5,330,Pieces,0.5,6.5
5256,4 Brewers,4Brewers Pale Blue Dot Barrel,600,Liters,1,8
4873,4 Brewers,4Brewers Doza 0.5,330,Pieces,0.5,6
4730,4 Brewers,4Brewers Zavisimost' 0.5,330,Pieces,0.5,5
4731,4 Brewers,4Brewers Zavsisimost' HOT 0.33,300,Pieces,0.33,6.9
4729,4 Brewers,4Brewers ZOZh 0.33,300,Pieces,0.33,6
5257,4 Brewers,4Brewers ZOZh HOT 0.33,300,Pieces,0.33,6
5186,4 Brewers,4Brewers Magija 0.5,330,Pieces,0.5,6.2
5185,4 Brewers,4Brewers Magija Barrel,600,Liters,1,6.2
4872,4 Brewers,4Brewers Ostraja Zavisimost' 0.5,330,Pieces,0.5,6.9
1767,8 Barrels,8 Barrels in assortment,480,Pieces,,
3741,Bakunin,Acid Garden Bakunin,560,Liters,1,5
58,Aegir,Aegir,,,,
3732,Aegir,Aegir Happy Gluten Free 0.33,400,Pieces,0.33,4.7
855,Aegir,AEgir India Pale Ale / 6.5% / 0.33zhb,350,Pieces,0.33,6.5
1973,Aegir,Aegir Lynchburg Natt Imperial Barrel Aged Porter,680,Pieces,0.33,10
3142,Aegir,Aegir Nordic Vibe BA Wheat Wine 0.33,750,Pieces,0.33,12
149,Aegir,"Aegir Ratatosk Double IPA 0,33",490,Pieces,0.33,9
2999,Aegir,Aegir Tors Hammar Barleywine 0.33,720,Pieces,0.33,13.2
2233,Aegir,"Aegir Tors Hammar Barleywine 13,2% Barrel",1200,Liters,1,13.2
2075,Aegir,Aegir Ragnarek Jubileumsol 2017,800,Pieces,0.33,15
906,AF Brew,AF & Puhaste IMPERIAL Extra Double Stout/Imperial Ekstra Dabl Stout,1120,Liters,1,10
62,AF Brew,AF Brew,,,,
2483,AF Brew,"AF Brew & De Molen Kupola & Pastila 0,33",300,Pieces,0.33,10
2410,AF Brew,"AF Brew & Kees High On Vitamin Sea 11,8%",1200,Liters,1,11.8
2409,AF Brew,"AF Brew & Kees High On Vitamin Sea 11,8% 0,33",500,Pieces,0.33,11.8
1338,AF Brew,"AF Brew & Puhaste Neodekadents / imperial stout / 10,3% / 0,33",250,Pieces,0.33,10.3
1116,AF Brew,AF Brew & Zagovor Jump the Line,600,Liters,1,10
329,AF Brew,"AF Brew / Black Magic / porter / 5,8%",600,Liters,1,5.8
531,AF Brew,AF Brew / Deep soul milk / IPA / 5.5%,480,Liters,1,5.5
328,AF Brew,"AF Brew / Mosaic / IPA / 6,7% Barrel",600,Liters,1,6.7
331,AF Brew,AF Brew / Passion Is My Confession / berliner weisse / 4.2%,520,Liters,1,4.2
